Pipeline Cycles|Pipeline Sum Thread Cycles|Pipeline Time|CPU Time|CPU Join Time|CPU ExpOp Time|GPU Probe Time|CPU/GPU Time|Pre Filter Tuples|Filtered Tuples|Pre Join Tuples|Pos Join Tuples|CPUBloomFilter|FilterSize|Slowdown|CPUMorselSize|GPUMorselSize|Selectivity
1.33013e+11|1.32973e+12|40.1608|8.60401e+11|3.6637e+11|0|3.1232e+11|3.4325e+11|34359738368|1352436992|0|1696034304|1|4294967296|0|16384|16777216|1
6.59419e+10|6.59042e+11|19.91|4.29339e+11|1.78659e+11|0|1.54415e+11|1.67379e+11|17179869184|741686144|0|913484800|1|2147483648|0|16384|16777216|1
3.3339e+10|3.33027e+11|10.0661|2.06794e+11|9.98772e+10|0|7.72643e+10|9.44017e+10|8589934592|491796480|0|577695744|1|1073741824|0|16384|16777216|1
7.7804e+09|7.7446e+10|2.34915|4.77254e+10|2.28553e+10|0|1.76258e+10|2.16888e+10|2147483648|132026112|0|153500928|1|268435456|0|16384|16777216|1
3.47785e+09|3.44173e+10|1.05008|2.09561e+10|1.09063e+10|0|7.68601e+09|9.90652e+09|1073741824|69770490|0|80507808|1|134217728|0|16384|16777216|1
1.63339e+10|1.62938e+11|4.93172|1.01792e+11|4.81367e+10|0|3.75991e+10|4.52508e+10|4294967296|255044352|0|297993984|1|536870912|0|16384|16777216|1
1.40591e+09|1.36565e+10|0.42449|7.73049e+09|4.79974e+09|0|2.71863e+09|3.8217e+09|536870912|33995520|0|39364224|1|67108864|0|16384|16777216|1
6.46885e+08|5.98938e+09|0.195316|3.45042e+09|1.77952e+09|0|1.12628e+09|1.37675e+09|268435456|15669632|0|18353920|1|33554432|0|16384|16777216|1
3.80387e+08|3.04773e+09|0.114852|1.68699e+09|7.94597e+08|0|4.46617e+08|7.20539e+08|134217728|7794048|0|9136128|1|16777216|0|16384|16777216|1
3.20106e+08|2.5248e+09|0.0966509|1.10689e+09|5.19023e+08|0|2.2786e+08|5.04687e+08|67108864|4680320|0|5351296|1|8388608|0|16384|16777216|1
1.37245e+11|1.37206e+12|41.4386|7.81701e+11|3.64216e+11|1.4106e+11|3.17864e+11|4.63225e+11|34359738368|1352436992|0|1696034304|1|4294967296|50|16384|16777216|1
6.8668e+10|6.86298e+11|20.7331|3.91629e+11|1.77176e+11|7.57802e+10|1.5828e+11|2.31241e+11|17179869184|741686144|0|913484800|1|2147483648|50|16384|16777216|1
3.48003e+10|3.47655e+11|10.5073|1.78544e+11|9.6222e+10|5.0742e+10|7.90432e+10|1.36793e+11|8589934592|491796480|0|577695744|1|1073741824|50|16384|16777216|1
8.40744e+09|8.37e+10|2.53848|4.17637e+10|2.21875e+10|1.40392e+10|1.8584e+10|3.33695e+10|2147483648|132026112|0|153500928|1|268435456|50|16384|16777216|1
3.96438e+09|3.924e+10|1.19697|1.83958e+10|1.06355e+10|7.68786e+09|8.38738e+09|1.63041e+10|1073741824|69770496|0|80507904|1|134217728|50|16384|16777216|1
1.71546e+10|1.71143e+11|5.17954|8.71279e+10|4.66124e+10|2.64807e+10|3.86153e+10|6.75836e+10|4294967296|255044352|0|297993984|1|536870912|50|16384|16777216|1
1.57128e+09|1.53372e+10|0.474422|7.79643e+09|4.39389e+09|3.62577e+09|3.11898e+09|5.98878e+09|536870912|33995520|0|39364224|1|67108864|50|16384|16777216|1
8.27056e+08|7.76831e+09|0.249716|3.44121e+09|1.72618e+09|1.96058e+09|1.33395e+09|2.89953e+09|268435456|15669632|0|18353920|1|33554432|50|16384|16777216|1
4.03256e+08|3.34905e+09|0.121757|1.72323e+09|6.45989e+08|9.36983e+08|4.54359e+08|1.13625e+09|134217728|7794048|0|9136128|1|16777216|50|16384|16777216|1
3.93304e+08|3.19447e+09|0.118752|1.07529e+09|4.84293e+08|9.31433e+08|2.73848e+08|1.20465e+09|67108864|4680320|0|5351296|1|8388608|50|16384|16777216|1
1.40655e+11|1.40618e+12|42.4684|7.14602e+11|3.46156e+11|2.72026e+11|3.21172e+11|5.6351e+11|34359738368|1352436992|0|1696034304|1|4294967296|100|16384|16777216|1
7.06318e+10|7.05932e+11|21.326|3.52783e+11|1.67745e+11|1.48278e+11|1.60073e+11|2.88514e+11|17179869184|741686144|0|913484800|1|2147483648|100|16384|16777216|1
3.69045e+10|3.68669e+11|11.1427|1.57677e+11|9.18001e+10|9.75296e+10|8.19678e+10|1.77975e+11|8589934592|491796480|0|577695744|1|1073741824|100|16384|16777216|1
8.95255e+09|8.91536e+10|2.70307|3.62302e+10|2.07997e+10|2.7075e+10|1.92649e+10|4.46421e+10|2147483648|132026112|0|153500928|1|268435456|100|16384|16777216|1
4.32754e+09|4.28779e+10|1.30663|1.55566e+10|1.02234e+10|1.45775e+10|8.86648e+09|2.27807e+10|1073741824|69770496|0|80507904|1|134217728|100|16384|16777216|1
1.80612e+10|1.80265e+11|5.45327|7.72323e+10|4.28803e+10|5.05904e+10|3.98353e+10|8.70111e+10|4294967296|255044352|0|297993984|1|536870912|100|16384|16777216|1
1.92717e+09|1.8874e+10|0.581876|7.06126e+09|4.34852e+09|7.27483e+09|3.60804e+09|9.5786e+09|536870912|33995519|0|39364212|1|67108864|100|16384|16777216|1
9.23634e+08|8.84755e+09|0.278876|2.91714e+09|1.64291e+09|3.58387e+09|1.47668e+09|4.40665e+09|268435456|15669632|0|18353920|1|33554432|100|16384|16777216|1
4.52939e+08|3.88306e+09|0.136758|1.67983e+09|6.11991e+08|1.69287e+09|4.66569e+08|1.70438e+09|134217728|7794048|0|9136128|1|16777216|100|16384|16777216|1
4.44834e+08|3.73885e+09|0.13431|1.0643e+09|4.12109e+08|1.55623e+09|3.07126e+08|1.59382e+09|67108864|4680320|0|5351296|1|8388608|100|16384|16777216|1
1.51515e+11|1.51476e+12|45.7472|5.80572e+11|3.33773e+11|5.27029e+11|3.3453e+11|8.02168e+11|34359738368|1352436991|0|1696034297|1|4294967296|200|16384|16777216|1
7.60532e+10|7.60129e+11|22.9629|2.69344e+11|1.5967e+11|2.93257e+11|1.66044e+11|4.25178e+11|17179869184|741686144|0|913484800|1|2147483648|200|16384|16777216|1
4.02314e+10|4.01915e+11|12.1472|9.64266e+10|8.50106e+10|1.91277e+11|8.45619e+10|2.7155e+11|8589934592|491796480|0|577695744|1|1073741824|200|16384|16777216|1
1.02398e+10|1.02024e+11|3.09173|2.20249e+10|1.99455e+10|5.20136e+10|2.07507e+10|7.06372e+10|2147483648|132026112|0|153500928|1|268435456|200|16384|16777216|1
4.70401e+09|4.66668e+10|1.42029|2.6972e+09|9.67116e+09|2.78675e+10|4.56251e+09|3.95543e+10|1073741824|69770496|0|80507904|1|134217728|200|16384|16777216|1
2.00227e+10|1.99854e+11|6.0455|4.29368e+10|4.14501e+10|9.95497e+10|4.12763e+10|1.39814e+11|4294967296|255044352|0|297993984|1|536870912|200|16384|16777216|1
2.24751e+09|2.21007e+10|0.678596|2.42852e+09|4.08398e+09|1.34752e+10|2.13349e+09|1.76338e+10|536870912|33995520|0|39364224|1|67108864|200|16384|16777216|1
1.08308e+09|1.04792e+10|0.327019|1.96268e+09|1.54741e+09|6.59274e+09|9.22452e+08|7.60293e+09|268435456|15669632|0|18353920|1|33554432|200|16384|16777216|1
5.8533e+08|5.31716e+09|0.176731|1.55652e+09|6.08488e+08|3.3431e+09|4.11521e+08|3.26097e+09|134217728|7794048|0|9136128|1|16777216|200|16384|16777216|1
5.2297e+08|4.52955e+09|0.157902|1.1636e+09|3.66666e+08|2.68349e+09|3.36719e+08|2.44973e+09|67108864|4680320|0|5351296|1|8388608|200|16384|16777216|1
1.58333e+11|1.58296e+12|47.8059|2.97696e+09|3.18285e+11|1.04578e+12|1.45311e+11|1.43544e+12|34359738368|1352436992|0|1696034304|1|4294967296|400|16384|16777216|1
8.56787e+10|8.56443e+11|25.8692|2.91148e+09|1.53682e+11|5.89878e+11|7.20576e+10|7.81903e+11|17179869184|741686144|0|913484800|1|2147483648|400|16384|16777216|1
5.20008e+10|5.19648e+11|15.7007|2.83564e+09|8.02824e+10|3.7765e+11|3.63675e+10|4.80837e+11|8589934592|491796480|0|577695744|1|1073741824|400|16384|16777216|1
1.37918e+10|1.37545e+11|4.16419|2.75427e+09|1.87861e+10|1.0216e+11|9.07219e+09|1.25944e+11|2147483648|132026112|0|153500928|1|268435456|400|16384|16777216|1
7.32139e+09|7.28612e+10|2.21056|2.6351e+09|8.86469e+09|5.53731e+10|4.47616e+09|6.59225e+10|1073741824|69770496|0|80507904|1|134217728|400|16384|16777216|1
2.66955e+10|2.66613e+11|8.06022|2.82145e+09|3.80184e+10|1.97116e+11|1.78656e+10|2.46211e+11|4294967296|255044352|0|297993984|1|536870912|400|16384|16777216|1
3.51059e+09|3.4731e+10|1.05996|2.29463e+09|3.89043e+09|2.66274e+10|2.1183e+09|3.04262e+10|536870912|33995520|0|39364224|1|67108864|400|16384|16777216|1
1.61114e+09|1.57684e+10|0.486456|1.91335e+09|1.43069e+09|1.22388e+10|9.29595e+08|1.29363e+10|268435456|15669632|0|18353920|1|33554432|400|16384|16777216|1
8.67724e+08|8.29149e+09|0.261995|1.37746e+09|5.86129e+08|6.5372e+09|4.125e+08|6.41822e+09|134217728|7794048|0|9136128|1|16777216|400|16384|16777216|1
6.83378e+08|6.26908e+09|0.206335|1.24185e+09|3.25277e+08|4.58272e+09|3.81263e+08|4.10378e+09|67108864|4680320|0|5351296|1|8388608|400|16384|16777216|1
2.58445e+11|2.58405e+12|78.0329|3.02761e+09|2.92223e+11|2.07382e+12|1.45504e+11|2.43705e+12|34359738368|1352436930|0|1696033993|1|4294967296|800|16384|16777216|1
1.38921e+11|1.38886e+12|41.9449|2.92251e+09|1.39083e+11|1.13872e+12|7.16298e+10|1.31529e+12|17179869184|741686144|0|913484800|1|2147483648|800|16384|16777216|1
8.94213e+10|8.93878e+11|26.9992|2.91852e+09|7.58541e+10|7.56825e+11|3.66787e+10|8.55126e+11|8589934592|491796480|0|577695744|1|1073741824|800|16384|16777216|1
2.38373e+10|2.37971e+11|7.19725|2.81995e+09|1.80226e+10|2.03919e+11|9.03698e+09|2.26444e+11|2147483648|132026112|0|153500928|1|268435456|800|16384|16777216|1
1.26918e+10|1.2651e+11|3.83207|2.60659e+09|8.83785e+09|1.09438e+11|4.449e+09|1.19678e+11|1073741824|69770496|0|80507904|1|134217728|800|16384|16777216|1
4.56451e+10|4.56049e+11|13.7817|2.84914e+09|3.57719e+10|3.89179e+11|1.81053e+10|4.3559e+11|4294967296|255044352|0|297993984|1|536870912|800|16384|16777216|1
6.09771e+09|6.06014e+10|1.8411|2.36016e+09|3.86324e+09|5.26276e+10|2.24458e+09|5.61386e+10|536870912|33995520|0|39364224|1|67108864|800|16384|16777216|1
2.82245e+09|2.7828e+10|0.852191|2.03142e+09|1.44347e+09|2.43723e+10|9.82585e+08|2.48378e+10|268435456|15669632|0|18353920|1|33554432|800|16384|16777216|1
1.42451e+09|1.3857e+10|0.430106|1.29293e+09|5.60962e+08|1.22677e+10|4.02231e+08|1.20769e+10|134217728|7794048|0|9136128|1|16777216|800|16384|16777216|1
1.03777e+09|9.86309e+09|0.313337|1.16301e+09|3.00349e+08|8.3081e+09|4.04048e+08|7.78015e+09|67108864|4680320|0|5351296|1|8388608|800|16384|16777216|1
